bar,beer,date,startquantity,endquantity
"Chubby Badger Pub","Grey Whale Ale",2018-10-10,185,170
"Oceanic Knight Inn","Red Moon",2018-10-17,180,165
"Foamy Cave","Deviator Doppelbock",2018-10-22,191,179
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-17,159,145
"Skinny Guitar","Honey Fayre",2018-10-18,158,144
"Quickest Doves","Ashland Amber",2018-10-20,154,142
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-13,206,196
"Absent Snow","Dry Hop Red",2018-10-15,185,172
"Armed Pudding Bar","Dry Hop Red",2018-10-18,197,186
"Twelve Spider Inn","Dry Stout",2018-10-12,189,178
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-10-21,260,248
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-19,198,185
"Laughing Elephant Tavern","Orca Porter",2018-10-16,220,207
"Dandy Cloud Bistro",Hefeweizen,2018-10-09,225,215
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-21,160,147
"Nifty Branch Inn","Amstel Bock",2018-10-13,219,209
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-15,160,145
"Rich Tauren Bar","Nut Brown",2018-10-09,225,215
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-17,131,117
"Sour Axe Bar","Caldera Oatmeal Stout",2018-10-10,189,177
"Hidden Table Brewpub","Dry Hop Red",2018-10-13,257,243
"Scary Kiwi",Hefeweizen,2018-10-19,149,136
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-16,213,200
"Steel Elf","Celebration Ale",2018-10-17,154,139
"Proud Spiders","Cauldron Espresso Stout",2018-10-15,208,195
"Original Horse Brewpub","The Highland Stagger",2018-10-21,182,171
"Lying Explorer Tavern","Amstel Light",2018-10-15,176,166
"Hypnotic Gate Tavern","Caldera IPA",2018-10-09,150,139
"Venomous River Inn","Lawnmower Lager",2018-10-17,209,198
"Needy Mind Tavern","Celebration Ale",2018-10-11,124,110
"Clever Child","Leviathan Imperial Stout",2018-10-18,256,243
"Natural Leopard","Imperial Stout",2018-10-18,180,170
"Iron Turkey","Dry Stout",2018-10-17,209,196
"Chubby Badger Pub","Grey Whale Ale",2018-10-11,170,157
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-18,145,133
"Earthy Bird Pub","Schinderhannes Bock",2018-10-13,192,181
"Ruthless Chestnut","Code Blue",2018-10-13,197,187
"Hot Cup Inn","Emerald Ale",2018-10-18,180,168
"Windy Harp","Holiday Imperial",2018-10-18,258,248
"Brave Olive Pub","Swamp Fox IPA",2018-10-18,150,137
"Oceanic Knight Inn","Red Moon",2018-10-18,209,194
"Deep Lantern","Viven Porter",2018-10-12,115,103
"Skinny Guitar","Honey Fayre",2018-10-19,144,133
"Foamy Cave","Columbus India Pale Ale",2018-10-09,200,186
"Gray City","Nut Brown",2018-10-11,179,168
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-14,196,185
"Quickest Doves","Ashland Amber",2018-10-21,180,167
"Armed Pudding Bar","Dry Hop Red",2018-10-19,186,173
"Absent Snow","Dry Hop Red",2018-10-16,172,158
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-20,185,175
"Laughing Elephant Tavern","Orca Porter",2018-10-17,207,195
"Dandy Cloud Bistro",Hefeweizen,2018-10-10,215,204
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-22,147,134
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-10-22,248,238
"Twelve Spider Inn","Dry Stout",2018-10-13,231,221
"Scary Kiwi",Hefeweizen,2018-10-20,136,126
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-16,145,131
"Rich Tauren Bar","Nut Brown",2018-10-10,215,201
"Proud Spiders","Cauldron Espresso Stout",2018-10-16,195,183
"Lying Explorer Tavern","Amstel Light",2018-10-16,166,154
"Hypnotic Gate Tavern","Caldera IPA",2018-10-10,139,127
"Venomous River Inn","Lawnmower Lager",2018-10-18,232,222
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-17,256,243
"Nifty Branch Inn","Amstel Bock",2018-10-14,209,199
"Skinny Guitar","Honey Fayre",2018-10-20,133,119
"Steel Elf","Celebration Ale",2018-10-18,185,173
"Needy Mind Tavern","Celebration Ale",2018-10-12,110,95
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-18,157,147
"Hidden Table Brewpub","Dry Hop Red",2018-10-14,243,231
"Sour Axe Bar","Caldera Oatmeal Stout",2018-10-11,177,167
"Original Horse Brewpub","The Highland Stagger",2018-10-22,171,159
"Iron Turkey","Dry Stout",2018-10-18,196,183
"Natural Leopard","Imperial Stout",2018-10-19,170,160
"Clever Child","Leviathan Imperial Stout",2018-10-19,243,230
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-19,133,118
"Chubby Badger Pub","Grey Whale Ale",2018-10-12,210,199
"Foamy Cave","Columbus India Pale Ale",2018-10-10,186,176
"Brave Olive Pub","Swamp Fox IPA",2018-10-19,137,124
"Ruthless Chestnut","Code Blue",2018-10-14,187,172
"Oceanic Knight Inn","Red Moon",2018-10-19,194,179
"Earthy Bird Pub","Schinderhannes Bock",2018-10-14,181,168
"Deep Lantern","Viven Porter",2018-10-13,158,143
"Hot Cup Inn","Emerald Ale",2018-10-19,168,156
"Windy Harp","Holiday Imperial",2018-10-19,248,237
"Quickest Doves","Ashland Amber",2018-10-22,167,157
"Gray City","Nut Brown",2018-10-12,168,154
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-15,185,170
"Armed Pudding Bar","Dry Hop Red",2018-10-20,173,161
"Laughing Elephant Tavern","Orca Porter",2018-10-18,231,217
"Absent Snow","Dry Hop Red",2018-10-17,158,146
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-21,207,194
"Twelve Spider Inn","Dry Stout",2018-10-14,221,206
"Dandy Cloud Bistro",Hefeweizen,2018-10-11,204,192
"Fascinated Chick Pub","Columbus India Pale Ale",2018-10-09,250,235
"Jealous Fiddle Pub","Old Growth Imperial Stout",2018-10-09,150,137
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-17,183,171
"Lying Explorer Tavern","Amstel Light",2018-10-17,210,196
"Skinny Guitar","Honey Fayre",2018-10-21,159,144
"Hypnotic Gate Tavern","Caldera IPA",2018-10-11,127,116
"Scary Kiwi",Hefeweizen,2018-10-21,155,142
"Nifty Branch Inn","Amstel Bock",2018-10-15,233,218
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-18,243,231
"Venomous River Inn","Lawnmower Lager",2018-10-19,222,212
"Rich Tauren Bar","Nut Brown",2018-10-11,201,191
"Proud Spiders","Cauldron Espresso Stout",2018-10-17,183,170
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-20,118,105
"Steel Elf","Celebration Ale",2018-10-19,173,159
"Needy Mind Tavern","Celebration Ale",2018-10-13,155,144
"Sour Axe Bar","Caldera Oatmeal Stout",2018-10-12,167,156
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-19,147,137
"Earthy Bird Pub","Schinderhannes Bock",2018-10-15,206,195
"Hot Cup Inn","Emerald Ale",2018-10-20,156,141
"Natural Leopard","Imperial Stout",2018-10-20,160,146
"Clever Child","Leviathan Imperial Stout",2018-10-20,230,216
"Quickest Doves","Exotic Erotic Passion Fruit Ale",2018-10-09,225,215
"Gray City","Nut Brown",2018-10-13,206,193
"Hidden Table Brewpub","Dry Hop Red",2018-10-15,231,218
"Chubby Badger Pub","Grey Whale Ale",2018-10-13,199,189
"Windy Harp","Holiday Imperial",2018-10-20,237,222
"Iron Turkey","Dry Stout",2018-10-19,183,173
"Foamy Cave","Columbus India Pale Ale",2018-10-11,176,166
"Brave Olive Pub","Swamp Fox IPA",2018-10-20,124,110
"Ruthless Chestnut","Code Blue",2018-10-15,208,193
"Oceanic Knight Inn","Red Moon",2018-10-20,179,169
"Deep Lantern","Viven Porter",2018-10-14,143,129
"Original Horse Brewpub","Coconut Porter",2018-10-09,150,138
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-16,170,160
"Armed Pudding Bar","Dry Hop Red",2018-10-21,209,196
"Laughing Elephant Tavern","Orca Porter",2018-10-19,217,207
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-22,194,181
"Jealous Fiddle Pub","Old Growth Imperial Stout",2018-10-10,137,125
"Twelve Spider Inn","Dry Stout",2018-10-15,206,195
"Dandy Cloud Bistro",Hefeweizen,2018-10-12,235,225
"Absent Snow","Dry Hop Red",2018-10-18,183,169
"Fascinated Chick Pub","Columbus India Pale Ale",2018-10-10,235,225
"Skinny Guitar","Honey Fayre",2018-10-22,144,133
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-18,171,161
"Lying Explorer Tavern","Amstel Light",2018-10-18,196,186
"Hypnotic Gate Tavern","Caldera IPA",2018-10-12,158,143
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-21,155,141
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-19,231,220
"Nifty Branch Inn","Amstel Bock",2018-10-16,218,208
"Venomous River Inn","Lawnmower Lager",2018-10-20,212,198
"Rich Tauren Bar","Nut Brown",2018-10-12,191,177
"Proud Spiders","Cauldron Espresso Stout",2018-10-18,205,194
"Steel Elf","Celebration Ale",2018-10-20,159,148
"Scary Kiwi",Hefeweizen,2018-10-22,142,129
"Needy Mind Tavern","Celebration Ale",2018-10-14,144,129
"Earthy Bird Pub","Schinderhannes Bock",2018-10-16,195,185
"Sour Axe Bar","Caldera Oatmeal Stout",2018-10-13,205,195
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-20,137,125
"Clever Child","Leviathan Imperial Stout",2018-10-21,255,245
"Gray City","Nut Brown",2018-10-14,193,180
"Hidden Table Brewpub","Dry Hop Red",2018-10-16,218,204
"Hot Cup Inn","Emerald Ale",2018-10-21,180,169
"Chubby Badger Pub","Grey Whale Ale",2018-10-14,189,177
"Quickest Doves","Exotic Erotic Passion Fruit Ale",2018-10-10,215,205
"Natural Leopard","Imperial Stout",2018-10-21,181,169
"Windy Harp","Holiday Imperial",2018-10-21,258,247
"Foamy Cave","Columbus India Pale Ale",2018-10-12,205,190
"Iron Turkey","Dry Stout",2018-10-20,173,159
"Brave Olive Pub","Swamp Fox IPA",2018-10-21,156,146
"Oceanic Knight Inn","Red Moon",2018-10-21,207,196
"Ruthless Chestnut","Code Blue",2018-10-16,193,178
"Armed Pudding Bar","Dry Hop Red",2018-10-22,196,182
"Laughing Elephant Tavern","Orca Porter",2018-10-20,207,195
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-17,207,192
"Deep Lantern","Viven Porter",2018-10-15,129,115
"Original Horse Brewpub","Coconut Porter",2018-10-10,138,127
"Dandy Cloud Bistro",Hefeweizen,2018-10-13,225,211
"Skinny Guitar","North Beach Ale",2018-10-09,225,210
"Absent Snow","Dry Hop Red",2018-10-19,169,159
"Perfect Rabbit Tavern","Caldera IPA",2018-10-09,250,238
"Twelve Spider Inn","Dry Stout",2018-10-16,195,183
"Fascinated Chick Pub","Columbus India Pale Ale",2018-10-11,225,213
"Jealous Fiddle Pub","Old Growth Imperial Stout",2018-10-11,125,114
"Lying Explorer Tavern","Amstel Light",2018-10-19,186,175
"Hypnotic Gate Tavern","Caldera IPA",2018-10-13,143,128
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-22,141,127
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-19,161,149
"Venomous River Inn","Lawnmower Lager",2018-10-21,231,220
"Rich Tauren Bar","Nut Brown",2018-10-13,231,216
"Proud Spiders","Cauldron Espresso Stout",2018-10-19,194,184
"Earthy Bird Pub","Schinderhannes Bock",2018-10-17,185,172
"Steel Elf","Celebration Ale",2018-10-21,183,169
"Scary Kiwi","Code Blue",2018-10-09,250,237
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-21,159,145
"Hot Cup Inn","Emerald Ale",2018-10-22,169,156
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-20,220,209
"Nifty Branch Inn","Amstel Bock",2018-10-17,208,196
"Gray City","Nut Brown",2018-10-15,180,165
"Natural Leopard","Imperial Stout",2018-10-22,169,156
"Chubby Badger Pub","Grey Whale Ale",2018-10-15,209,197
"Clever Child","Leviathan Imperial Stout",2018-10-22,245,232
"Armed Pudding Bar","Old Growth Imperial Stout",2018-10-09,225,212
"Laughing Elephant Tavern","Orca Porter",2018-10-21,233,218
"Sour Axe Bar","Caldera Oatmeal Stout",2018-10-14,195,180
"Iron Turkey","Dry Stout",2018-10-21,206,194
"Windy Harp","Holiday Imperial",2018-10-22,247,232
"Foamy Cave","Columbus India Pale Ale",2018-10-13,190,176
"Brave Olive Pub","Swamp Fox IPA",2018-10-22,146,132
"Ruthless Chestnut","Code Blue",2018-10-17,178,163
"Hidden Table Brewpub","Dry Hop Red",2018-10-17,255,242
"Dandy Cloud Bistro",Hefeweizen,2018-10-14,211,201
"Needy Mind Tavern","Celebration Ale",2018-10-15,129,118
"Quickest Doves","Exotic Erotic Passion Fruit Ale",2018-10-11,205,194
"Oceanic Knight Inn","Red Moon",2018-10-22,196,186
"Original Horse Brewpub","Coconut Porter",2018-10-11,127,116
"Deep Lantern","Viven Porter",2018-10-16,115,102
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-18,192,179
"Skinny Guitar","North Beach Ale",2018-10-10,210,200
"Perfect Rabbit Tavern","Caldera IPA",2018-10-10,238,226
"Absent Snow","Dry Hop Red",2018-10-20,159,149
"Fascinated Chick Pub","Columbus India Pale Ale",2018-10-12,213,198
"Twelve Spider Inn","Dry Stout",2018-10-17,232,220
"Jealous Fiddle Pub","Old Growth Imperial Stout",2018-10-12,155,140
"Teeny Gauntlet Bar","Pacific Pilsner",2018-10-09,250,239
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-20,149,139
"Lying Explorer Tavern","Amstel Light",2018-10-20,175,164
"Hypnotic Gate Tavern","Caldera IPA",2018-10-14,128,115
"Earthy Bird Pub","Schinderhannes Bock",2018-10-18,205,192
"Venomous River Inn","Lawnmower Lager",2018-10-22,220,206
"Proud Spiders","Cauldron Espresso Stout",2018-10-20,184,169
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-21,256,242
"Scary Kiwi","Code Blue",2018-10-10,237,223
"Steel Elf","Celebration Ale",2018-10-22,169,159
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-22,145,132
"Rich Tauren Bar","Nut Brown",2018-10-14,216,206
"Hot Cup Inn","Amstel Lager",2018-10-09,225,213
"Nifty Branch Inn","Amstel Bock",2018-10-18,231,216
"Gray City","Nut Brown",2018-10-16,165,152
"Natural Leopard","Pacific Pilsner",2018-10-09,175,161
"Chubby Badger Pub","Grey Whale Ale",2018-10-16,197,182
"Armed Pudding Bar","Old Growth Imperial Stout",2018-10-10,212,197
"Laughing Elephant Tavern","Orca Porter",2018-10-22,218,203
"Dandy Cloud Bistro",Hefeweizen,2018-10-15,233,220
"Clever Child","Amstel Gold",2018-10-09,225,213
"Iron Turkey","Dry Stout",2018-10-22,194,180
"Windy Harp","Grey Whale Ale",2018-10-09,200,189
"Deep Lantern","Viven Porter",2018-10-17,160,147
"Ruthless Chestnut","Code Blue",2018-10-18,208,194
"Hidden Table Brewpub","Dry Hop Red",2018-10-18,242,230
"Original Horse Brewpub","Coconut Porter",2018-10-12,159,145
"Skinny Guitar","North Beach Ale",2018-10-11,200,188
"Perfect Rabbit Tavern","Caldera IPA",2018-10-11,226,215
"Absent Snow","Dry Hop Red",2018-10-21,184,169
"Foamy Cave","Columbus India Pale Ale",2018-10-14,176,162
"Sour Axe Bar","Caldera Oatmeal Stout",2018-10-15,180,168
"Fascinated Chick Pub","Columbus India Pale Ale",2018-10-13,259,248
"Quickest Doves","Exotic Erotic Passion Fruit Ale",2018-10-12,194,179
"Needy Mind Tavern","Celebration Ale",2018-10-16,118,104
"Jealous Fiddle Pub","Old Growth Imperial Stout",2018-10-13,140,130
"Brave Olive Pub","Holiday Ale",2018-10-09,225,214
"Oceanic Knight Inn","Honey Fayre",2018-10-09,175,160
"Twelve Spider Inn","Dry Stout",2018-10-18,220,209
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-19,179,169
"Teeny Gauntlet Bar","Pacific Pilsner",2018-10-10,239,229
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-21,181,170
"Lying Explorer Tavern","Amstel Light",2018-10-21,209,196
"Hypnotic Gate Tavern","Caldera IPA",2018-10-15,159,144
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-22,242,229
"Proud Spiders","Cauldron Espresso Stout",2018-10-21,206,194
"Venomous River Inn","Blue Whale Ale",2018-10-09,175,160
"Earthy Bird Pub","Schinderhannes Bock",2018-10-19,192,182
"Scary Kiwi","Code Blue",2018-10-11,223,211
"Sweet And Sour Castle Bar","Deviator Doppelbock",2018-10-09,225,214
"Steel Elf","Amstel Oud Bruin",2018-10-09,150,136
"Nifty Branch Inn","Amstel Bock",2018-10-19,216,205
"Armed Pudding Bar","Old Growth Imperial Stout",2018-10-11,197,185
"Rich Tauren Bar","Nut Brown",2018-10-15,206,194
"Laughing Elephant Tavern","Sausa Pils",2018-10-09,175,160
"Gray City","Nut Brown",2018-10-17,209,196
"Hot Cup Inn","Amstel Lager",2018-10-10,213,200
"Natural Leopard","Pacific Pilsner",2018-10-10,161,148
"Dandy Cloud Bistro",Hefeweizen,2018-10-16,220,208
"Skinny Guitar","North Beach Ale",2018-10-12,235,225
"Perfect Rabbit Tavern","Caldera IPA",2018-10-12,255,243
"Clever Child","Amstel Gold",2018-10-10,213,203
"Windy Harp","Grey Whale Ale",2018-10-10,189,174
"Chubby Badger Pub","Grey Whale Ale",2018-10-17,182,172
"Absent Snow","Dry Hop Red",2018-10-22,169,158
"Deep Lantern","Viven Porter",2018-10-18,147,133
"Fascinated Chick Pub","Columbus India Pale Ale",2018-10-14,248,236
"Quickest Doves","Exotic Erotic Passion Fruit Ale",2018-10-13,235,224
"Iron Turkey","Dry Hop Orange",2018-10-09,200,186
"Foamy Cave","Columbus India Pale Ale",2018-10-15,205,191
"Original Horse Brewpub","Coconut Porter",2018-10-13,145,132
"Hidden Table Brewpub","Dry Hop Red",2018-10-19,230,219
"Ruthless Chestnut","Code Blue",2018-10-19,194,179
"Sour Axe Bar","Caldera Oatmeal Stout",2018-10-16,168,154
"Teeny Gauntlet Bar","Pacific Pilsner",2018-10-11,229,217
"Needy Mind Tavern","Celebration Ale",2018-10-17,155,140
"Oceanic Knight Inn","Honey Fayre",2018-10-10,160,147
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-20,169,159
"Twelve Spider Inn","Dry Stout",2018-10-19,209,197
"Jealous Fiddle Pub","Old Growth Imperial Stout",2018-10-14,130,120
"Incredible Sailboat Pub","Black Horse Black Beer",2018-10-09,150,137
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-22,170,155
"Proud Spiders","Cauldron Espresso Stout",2018-10-22,194,179
"Lying Explorer Tavern","Amstel Light",2018-10-22,196,181
"Hypnotic Gate Tavern","Caldera IPA",2018-10-16,144,129
"Brave Olive Pub","Holiday Ale",2018-10-10,214,199
"Venomous River Inn","Blue Whale Ale",2018-10-10,160,146
"Laughing Elephant Tavern","Sausa Pils",2018-10-10,160,149
"Armed Pudding Bar","Old Growth Imperial Stout",2018-10-12,185,172
"Scary Kiwi","Code Blue",2018-10-12,255,243
"Sweet And Sour Castle Bar","Deviator Doppelbock",2018-10-10,214,201
"Earthy Bird Pub","Schinderhannes Bock",2018-10-20,182,171
"Nifty Branch Inn","Amstel Bock",2018-10-20,205,193
"Hot Cup Inn","Amstel Lager",2018-10-11,200,189
"Perfect Rabbit Tavern","Caldera IPA",2018-10-13,243,230
"Natural Leopard","Pacific Pilsner",2018-10-11,148,135
"Dandy Cloud Bistro",Hefeweizen,2018-10-17,208,193
"Skinny Guitar","North Beach Ale",2018-10-13,225,215
"Admiral Benbow Inn","Cauldron Espresso Stout",2018-10-09,150,139
"Gray City","Nut Brown",2018-10-18,196,182
"Rich Tauren Bar","Nut Brown",2018-10-16,194,180
"Fascinated Chick Pub","Columbus India Pale Ale",2018-10-15,236,222
"Steel Elf","Amstel Oud Bruin",2018-10-10,136,121
"Clever Child","Amstel Gold",2018-10-11,203,192
"Deep Lantern","Viven Porter",2018-10-19,133,122
"Windy Harp","Grey Whale Ale",2018-10-11,174,163
"Chubby Badger Pub","Grey Whale Ale",2018-10-18,210,198
"Iron Turkey","Dry Hop Orange",2018-10-10,186,174
"Foamy Cave","Columbus India Pale Ale",2018-10-16,191,178
"Teeny Gauntlet Bar","Pacific Pilsner",2018-10-12,256,242
"Original Horse Brewpub","Coconut Porter",2018-10-14,132,118
"Ruthless Chestnut","Code Blue",2018-10-20,179,166
"Hidden Table Brewpub","Dry Hop Red",2018-10-20,219,208
"Sour Axe Bar","Caldera Oatmeal Stout",2018-10-17,207,196
"Armed Pudding Bar","Old Growth Imperial Stout",2018-10-13,231,221
"Laughing Elephant Tavern","Sausa Pils",2018-10-11,149,137
"Twelve Spider Inn","Dry Stout",2018-10-20,197,184
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-21,206,192
"Needy Mind Tavern","Celebration Ale",2018-10-18,140,130
"Jealous Fiddle Pub","Old Growth Imperial Stout",2018-10-15,156,142
"Dandy Cloud Bistro",Hefeweizen,2018-10-18,230,218
"Incredible Sailboat Pub","Black Horse Black Beer",2018-10-10,137,125
"Dizzy Lemon Lounge","Amstel Light",2018-10-09,250,236
"Oceanic Knight Inn","Honey Fayre",2018-10-11,147,132
"Lying Explorer Tavern","Columbus India Pale Ale",2018-10-09,200,185
"Hypnotic Gate Tavern","Caldera IPA",2018-10-17,129,119
"Quickest Doves","Exotic Erotic Passion Fruit Ale",2018-10-14,224,211
"Skinny Guitar","North Beach Ale",2018-10-14,215,200
"Proud Spiders","The Highland Stagger",2018-10-09,250,237
"Perfect Rabbit Tavern","Caldera IPA",2018-10-14,230,219
"Admiral Benbow Inn","Cauldron Espresso Stout",2018-10-10,139,129
"Fascinated Chick Pub","Columbus India Pale Ale",2018-10-16,222,212
"Brave Olive Pub","Holiday Ale",2018-10-11,199,188
"Venomous River Inn","Blue Whale Ale",2018-10-11,146,133
"Earthy Bird Pub","Schinderhannes Bock",2018-10-21,210,197
"Natural Leopard","Pacific Pilsner",2018-10-12,181,167
"Nifty Branch Inn","Amstel Bock",2018-10-21,235,221
"Scary Kiwi","Code Blue",2018-10-13,243,228
"Sweet And Sour Castle Bar","Deviator Doppelbock",2018-10-11,201,187
"Steel Elf","Amstel Oud Bruin",2018-10-11,121,110
"Gray City","Nut Brown",2018-10-19,182,167
"Clever Child","Amstel Gold",2018-10-12,235,221
"Rich Tauren Bar","Nut Brown",2018-10-17,234,222
"Hot Cup Inn","Amstel Lager",2018-10-12,230,219
"Deep Lantern","Viven Porter",2018-10-20,122,109
"Windy Harp","Grey Whale Ale",2018-10-12,206,192
"Chubby Badger Pub","Grey Whale Ale",2018-10-19,198,185
"Iron Turkey","Dry Hop Orange",2018-10-11,174,163
"Teeny Gauntlet Bar","Pacific Pilsner",2018-10-13,242,232
